"","r","Freq"
"433","Aeronca Aircraft Co. 65-C",1
"434","Aeronca Aircraft Co. 65-CA",1
"435","Aeronca Aircraft Co. 65-LA",1
"436","Aeronca Aircraft Co. 65-LB",1
"437","Aeronca Aircraft Co. S-50-C",1
"438","Aeronca Aircraft Co. S-50-F",1
"439","Aeronca Aircraft Co. S-65-C",1
"440","Aeronca Aircraft Co. S-65-CA",1
"441","Aeronca KCA",1
"442","Aeronca S-50-C",1
"443","Aeronca S-65-C",1
"444","Aeronca S15AC",3
"445","Aeronca S65-CA",1
"446","Aerospace Technologies N22B",2
"447","Aerospace Technologies N22S",1
"448","Aerospace Technologies N24A",1
"449","Aerospace Technologies N24A (TC A7PC",1
"450","Aerospatiale 320",1
"451","Aerospatiale 355",1
"452","Aerospatiale 72 series",1
"453","Aerospatiale 72 Series",1
"454","Aerospatiale Alouette III SA 316",1
"455","Aerospatiale AS-350",1
"456","Aerospatiale AS-365N2",1
"457","Aerospatiale AS-365N3",1
"458","Aerospatiale ATR-400",1
"459","Aerospatiale ATR-42",1
"460","Aerospatiale ATR-72",1
"461","Aerospatiale ATR-72 Series",1
"462","Aerospatiale ATR 42",2
"463","Aerospatiale ATR 42-200",2
"464","Aerospatiale ATR 42-300",2
"465","Aerospatiale ATR 42-320",2
"466","Aerospatiale ATR 42-500",1
"467","Aerospatiale ATR 42 72 series",1
"468","Aerospatiale ATR 42 Series",2
"469","Aerospatiale ATR 72-101",2
"470","Aerospatiale ATR 72-102",2
"471","Aerospatiale ATR 72-201",2
"472","Aerospatiale ATR 72-202",2
"473","Aerospatiale ATR 72-211",1
"474","Aerospatiale ATR 72-212",1
"475","Aerospatiale ATR 72-212A",1
"476","Aerospatiale ATR 72 Series",1
"477","Aerospatiale ATR42",7
"478","Aerospatiale ATR42-102",3
"479","Aerospatiale ATR42-200",9
"480","Aerospatiale ATR42-201",3
"481","Aerospatiale ATR42-202",4
"482","Aerospatiale ATR42-211",4
"483","Aerospatiale ATR42-212",4
"484","Aerospatiale ATR42-212A",4
"485","Aerospatiale ATR42-300",13
"486","Aerospatiale ATR42-300 / -320",1
"487","Aerospatiale ATR42-300 ATR42-320",1
"488","Aerospatiale ATR42-320",10
"489","Aerospatiale ATR42-320. ATR72-201",1
"490","Aerospatiale ATR42-400",1
"491","Aerospatiale ATR42-500",6
"492","Aerospatiale ATR42-500 ATR72-101",1
"493","Aerospatiale ATR42 Series",1
"494","Aerospatiale ATR72",5
"495","Aerospatiale ATR72-101",11
"496","Aerospatiale ATR72-101 / -201 / -211",1
"497","Aerospatiale ATR72-102",6
"498","Aerospatiale ATR72-102 / -202 / -212 / -212A",1
"499","Aerospatiale ATR72-201",7
"500","Aerospatiale ATR72-201 ATR72-102",1
"501","Aerospatiale ATR72-202",6
"502","Aerospatiale ATR72-202 ATR72-211",1
"503","Aerospatiale ATR72-211",3
"504","Aerospatiale ATR72-212",4
"505","Aerospatiale ATR72-212 ATR-72-212A",1
"506","Aerospatiale ATR72-212A",1
"507","Aerospatiale ATR72 all models",1
"508","Aerospatiale ATR72 series",2
"509","Aerospatiale C",1
"510","Aerospatiale D",1
"511","Aerospatiale D-1 AS-355E",1
"512","Aerospatiale F",1
"513","Aerospatiale Models AS-350B",1
"514","Aerospatiale Models AS350",1
"515","Aerospatiale Models SA315B",1
"516","Aerospatiale NORD 262A per TCDS A6EU Modified per STC SA2369SW",1
"517","Aerospatiale SA 365N",1
"518","Aerospatiale SA 365N1",1
