"","r","Freq"
"9087","Honeywell Allied Signal LTP 101-600-600A-600A-1A-700A-1A",1
"9088","Honeywell ATF3-6",1
"9089","Honeywell ATF3-6A",1
"9090","Honeywell LTS-101-600A-2",3
"9091","Honeywell LTS-101-600A-3",3
"9092","Honeywell LTS-101-650B-1",3
"9093","Honeywell LTS-101-650B-1A",1
"9094","Honeywell LTS-101-650C-2",2
"9095","Honeywell LTS-101-650C-3",3
"9096","Honeywell LTS-101-650C-3A",3
"9097","Honeywell LTS-101-750A-1",2
"9098","Honeywell LTS-101-750B-1",3
"9099","Honeywell LTS-101-750B-2",3
"9100","Honeywell LTS-101-750C-1",2
"9101","Honeywell LTS-101-750C-1.",1
"9102","Honeywell LTS-650B-1",1
"9103","Honeywell LTS-650C-3",1
"9104","Honeywell LTS-650C-3A",1
"9105","Honeywell LTS-750B-1",1
"9106","Honeywell LTS-750C-1",1
"9107","Honeywell LTS 101-600A-2",1
"9108","Honeywell LTS 101-600A-3",1
"9109","Honeywell LTS 101-650B-1",1
"9110","Honeywell LTS 101-650C-2",1
"9111","Honeywell LTS 101-650C-3",1
"9112","Honeywell LTS 101-650C-3A",1
"9113","Honeywell LTS 101-750B-1",1
"9114","Honeywell LTS 101-750C-1",1
"9115","Honeywell MD-10",3
"9116","Honeywell T-53-L-703",2
"9117","Honeywell T-5313A",1
"9118","Honeywell T53-13A",1
"9119","Honeywell T53-13B",2
"9120","Honeywell T53-17A",2
"9121","Honeywell T53-L-11C",1
"9122","Honeywell T53-L-11D",1
"9123","Honeywell T53-L-13B",2
"9124","Honeywell T5311A",1
"9125","Honeywell T5311B",2
"9126","Honeywell T5313B",7
"9127","Honeywell T5317A",8
"9128","Honeywell T5317A-1",6
"9129","Honeywell T5317B",4
"9130","Honeywell T5317B series engines",2
"9131","Honeywell TFE7 TFE731-20",1
"9132","Honeywell TFE7 TFE731-40",1
"9133","Honeywell TFE7 TFE731-60",1
"9134","Honeywell TFE731-20",1
"9135","Honeywell TFE731-20R",1
"9136","Honeywell TFE731-40",1
"9137","Honeywell TFE731-40R",1
"9138","Honeywell TFE731-60",1
"9139","Honeywell TPE331-10",3
"9140","Honeywell TPE331-10U",1
"9141","Honeywell TPE331-10UA",1
"9142","Honeywell TPE331-11",1
"9143","Honeywell TPE331-11 Series Engines",1
"9144","Honeywell TPE331-12 Series Engines",1
"9145","Honeywell TPE331-14GR",1
"9146","Honeywell TPE331-14HR",1
"9147","Honeywell TPE331-8",1
"9148","Howard Aircraft Foundation DGA-11",1
"9149","Howard Aircraft Foundation DGA-12",1
"9150","Howard Aircraft Foundation DGA-15J",1
"9151","Howard Aircraft Foundation DGA-15P",1
"9152","Howard Aircraft Foundation DGA-15W",1
"9153","Howard Aircraft Foundation DGA-8",1
"9154","Howard Aircraft Foundation DGA-9",1
"9155","Hughes HE",1
"9156","Hughes HM",1
"9157","Hughes HS",1
"9158","Hughes Models 369D",1
"9159","IAE PW1122G-JM",1
"9160","IAE PW1124G-JM",1
"9161","IAE PW1124G1-JM",1
"9162","IAE PW1127G-JM",1
"9163","IAE PW1127G1-JM",1
"9164","IAE PW1127GA-JM",1
"9165","IAE PW1130G-JM",1
"9166","IAE PW1133G-JM",2
"9167","IAE PW1133GA-JM",1
"9168","INC.",1
"9169","International Aero Engines [IAE] V2522-A5",1
"9170","International Aero Engines [IAE] V2524-A5",1
"9171","International Aero Engines [IAE] V2525-D5",1
"9172","International Aero Engines [IAE] V2527-A5",1
"9173","International Aero Engines [IAE] V2527E-A5",1
"9174","International Aero Engines [IAE] V2528-D5",1
"9175","International Aero Engines [IAE] V2530-A5",1
"9176","International Aero Engines PW1122G-JM",1
"9177","International Aero Engines PW1124G-JM",1
"9178","International Aero Engines PW1124G1-JM",1
"9179","International Aero Engines PW1127G-JM",1
"9180","International Aero Engines PW1127G1-JM",1
"9181","International Aero Engines PW1127GA-JM",1
"9182","International Aero Engines PW1130G-JM",1
"9183","International Aero Engines PW1133G-JM",1
"9184","International Aero Engines PW1133GA-JM",1
"9185","International Aero Engines V2500-A1",9
"9186","International Aero Engines V2500-A1 Engines",1
"9187","International Aero Engines V2500-A5",3
"9188","International Aero Engines V2500-D5",1
"9189","International Aero Engines V2522-A5",9
"9190","International Aero Engines V2524-A5",9
"9191","International Aero Engines V2525-D5",9
"9192","International Aero Engines V2527-A5",10
"9193","International Aero Engines V2527E-A5",9
"9194","International Aero Engines V2527M-A5",5
"9195","International Aero Engines V2528-D5",9
"9196","International Aero Engines V2530-A5",10
"9197","International Aero Engines V2533-A5",9
"9198","International Aero Engines V2627M-A5",1
"9199","Intl. Aero Engines V2500-A1",2
"9200","Intl. Aero Engines V2522-A5",2
"9201","Intl. Aero Engines V2524-A5",2
"9202","Intl. Aero Engines V2525-D5",1
"9203","Intl. Aero Engines V2527-A5",2
"9204","Intl. Aero Engines V2527E-A5",2
"9205","Intl. Aero Engines V2527M-A5",2
"9206","Intl. Aero Engines V2528-D5",1
"9207","Intl. Aero Engines V2530-A5",2
"9208","Intl. Aero Engines V2533-A5",2
"9209","Israel ",1
"9210","Israel 1121",16
"9211","Israel 1121A",13
"9212","Israel 1121B",12
"9213","Israel 1123",20
"9214","Israel 1124",26
"9215","Israel 1124A",19
"9216","Israel 1124A S/N 4295",1
"9217","Israel 1125 Astra",1
"9218","Israel 1125 ASTRA",1
"9219","Israel 1125 Westiwnd Astra",1
"9220","Israel 1125 Westwind Astra",6
"9221","Israel 1125 Westwind ASTRA ASTRA SPX",1
"9222","Israel 1125 WW Astra",1
"9223","Israel 1125 WW ASTRA",1
"9224","Israel Aerospace Industries Ltd. 1124",1
"9225","Israel Aerospace Industries Ltd. 1124A",1
"9226","Israel Aircraft Ind. 1121",1
"9227","Israel Aircraft Ind. 1123",2
"9228","Israel Aircraft Ind. 1124",3
"9229","Israel Aircraft Ind. 1124A",3
"9230","Israel Aircraft Industries 1121",2
"9231","Israel Aircraft Industries 1123",4
"9232","Israel Aircraft Industries 1124",6
"9233","Israel Aircraft Industries 1124 1124A",1
"9234","Israel Aircraft Industries 1124A",6
"9235","Israel Aircraft Industries 1125 Westwind Astra",1
"9236","Israel Aircraft Industries Astra SPX",1
"9237","Israel Aircraft Industries, Ltd. 1121 Per TCDS A2SW",1
"9238","Israel Aircraft Industries, Ltd. 1123 Per TCDS A2SW",1
"9239","Israel Astra SPX",8
"9240","Israel ASTRA SPX",2
"9241","Israel Galaxy",1
"9242","Israel Subs",1
"9243","Jacobs ",1
"9244","Jacobs R755-A",1
"9245","Jacobs R755-B",1
"9246","Jacobs R755-S series",1
"9247","Jacobs R755A",1
"9248","Jacobs R755B",1
"9249","Jetstream 3100",2
"9250","Jetstream 3101",4
"9251","Jetstream 3200 series",1
"9252","Jetstream 3201",2
"9253","Jetstream 3201 Series",1
"9254","Jetstream Model 3201",2
"9255","Jetstream Series 3101",2
"9256","JRB-6",2
"9257","JT8D-209",1
"9258","Kawasaki KV107-II",1
"9259","Kawasaki KV107-IIA",1
"9260","Kelowna Flightcraft R , D 340",1
"9261","Kelowna Flightcraft R , D 440",1
"9262","L-18C",1
"9263","L-21A",1
"9264","L-21B",1
"9265","Lancair ",1
"9266","Lancair LC40-550FG",1
"9267","Lancair LC42-550FG",1
"9268","LAVIA S.A.  PA-25",1
"9269","LAVIA S.A.  PA-25-235",1
"9270","LAVIA S.A.  PA-25-260",1
"9271","LAVIASA [ LAVIA S.A.]  PA-25",1
"9272","LAVIASA [ LAVIA S.A.]  PA-25-235",2
"9273","LAVIASA [ LAVIA S.A.]  PA-25-260",1
"9274","Learjet 20 series",1
"9275","Learjet 23",4
"9276","Learjet 24",10
"9277","Learjet 24A",5
"9278","Learjet 24B",7
"9279","Learjet 24B-A",3
"9280","Learjet 24C",5
"9281","Learjet 24D",7
"9282","Learjet 24D-A",3
"9283","Learjet 24E",7
"9284","Learjet 24F",7
"9285","Learjet 24F-A",4
"9286","Learjet 25",12
"9287","Learjet 25A",6
"9288","Learjet 25B",8
"9289","Learjet 25C",8
"9290","Learjet 25D",8
"9291","LearJet 25D",1
"9292","Learjet 25F",8
"9293","LearJet 25F",1
"9294","Learjet 27",1
"9295","Learjet 28",2
"9296","Learjet 29",1
"9297","Learjet 30 Series",1
"9298","Learjet 31",10
"9299","Learjet 31A",8
"9300","Learjet 35",18
"9301","LearJet 35",1
"9302","Learjet 35A",13
"9303","LearJet 35A",1
"9304","Learjet 35A (C-21A",2
"9305","Learjet 36",14
"9306","LearJet 36",1
"9307","Learjet 36A",9
"9308","LearJet 36A",1
"9309","Learjet 55",5
"9310","Learjet 55 Series",1
"9311","Learjet 55B",3
"9312","Learjet 55C",3
"9313","Learjet 60",3
"9314","Learjet 60 series",1
"9315","Learjet A",1
"9316","Learjet A10CE",1
"9317","Learjet B",1
"9318","Learjet C",1
"9319","Learjet D",1
"9320","Learjet F",1
"9321","Learjet Inc 24",1
"9322","Learjet Inc 24A",1
"9323","Learjet Inc 24B",1
"9324","Learjet Inc 24B-A",1
"9325","Learjet Inc 24C",1
"9326","Learjet Inc 24D",1
"9327","Learjet Inc 24D-A",1
"9328","Learjet Inc 24E",1
"9329","Learjet Inc 24F",1
"9330","Learjet Inc 24F-A",1
"9331","Learjet Inc 25",1
"9332","Learjet Inc 25A",1
"9333","Learjet Inc 25B",1
"9334","Learjet Inc 25C",1
"9335","Learjet Inc 25D",1
"9336","Learjet Inc 25F",1
"9337","Learjet Inc 31",1
"9338","Learjet Inc 31A",1
"9339","Learjet Inc 35",1
"9340","Learjet Inc 35A",1
"9341","Learjet Inc 36",1
"9342","Learjet Inc 36A",1
"9343","Learjet Inc. 31A",1
"9344","Learjet Inc. 55",2
"9345","Learjet Inc. 55B",1
"9346","Learjet Inc. 55C",1
"9347","Learjet Inc. 60",2
"9348","Learjet Lear 20",1
"9349","Learjet Lear 60 Series",1
"9350","Learjet Learjet 24",1
"9351","Learjet, Inc. 55",2
"9352","Learjet, Inc. 55B",2
"9353","Learjet, Inc. 55C",2
"9354","Learjet, Inc. 60",1
"9355","LLC. [AMERICAN AVIATION CORP.] [GRUMMAN AMERICAN AVIATION CORP]",1
"9356","LLC.] [AA-1",1
"9357","Lockhead L-1011 (TC A23WE",1
"9358","Lockheed ",5
"9359","Lockheed ,McDonnell Douglas DC-10",5
"9360","Lockheed ,McDonnell Douglas DC-8",4
"9361","Lockheed ,McDonnell Douglas DC-80",3
"9362","Lockheed ,McDonnell Douglas DC-9",4
"9363","Lockheed ,McDonnell Douglas MD-11",5
"9364","Lockheed ,McDonnell Douglas MD-80",1
"9365","Lockheed 1011 Series",1
"9366","Lockheed 1049-54",2
"9367","Lockheed 1049 series",1
"9368","Lockheed 1049B-55 (NAVY R7V-1",2
"9369","Lockheed 1329",1
"9370","Lockheed 1329-23A",3
"9371","Lockheed 1329-23D",3
"9372","Lockheed 1329-23E",3
"9373","Lockheed 1329-25",2
"9374","Lockheed 1329-25 Per TCDS 2A15",1
"9375","Lockheed 1329 Jet Star",1
"9376","Lockheed 1329 Jetstar",1
"9377","Lockheed 1329 Series",1
"9378","Lockheed 1649A-98",1
"9379","Lockheed 188A",2
"9380","Lockheed 188C",1
"9381","Lockheed 282-44A-05",1
"9382","Lockheed 382",4
"9383","Lockheed 382 B",1
"9384","Lockheed 382 Series",1
"9385","Lockheed 382B",6
"9386","Lockheed 382E",7
"9387","Lockheed 382F",5
"9388","Lockheed 382G",6
"9389","Lockheed 382G (TC A1SO",1
"9390","Lockheed 385-3",3
"9391","Lockheed 649A",2
"9392","Lockheed 7000 seats installed",1
"9393","Lockheed 749A",2
"9394","Lockheed Aircraft Corporation 1649A-98",1
"9395","Lockheed Aircraft Corporation Lockheed 18 per TCDS A-723",1
"9396","Lockheed Aircraft L-1011-385 Series",1
"9397","Lockheed AND –385-3",3
"9398","Lockheed C",1
"9399","Lockheed C-130 series",1
"9400","Lockheed C130",2
"9401","Lockheed C130 (Including 382",1
"9402","Lockheed C130 series",1
"9403","Lockheed E",1
"9404","Lockheed G",1
"9405","Lockheed Inc. passenger seats Series 4000",1
"9406","Lockheed L-1-14",17
"9407","LOCKHEED L-1-14",1
"9408","Lockheed L-1-15",18
"9409","LOCKHEED L-1-15",1
"9410","Lockheed L-100",1
"9411","Lockheed L-1001-385-1",1
"9412","Lockheed L-10011-385-1",1
"9413","Lockheed L-1011",4
"9414","Lockheed L-1011-1-14",1
"9415","Lockheed L-1011-100",1
"9416","Lockheed L-1011-135 Series",1
"9417","Lockheed L-1011-200",1
"9418","Lockheed L-1011-335-1 (Basic",1
"9419","Lockheed L-1011-382-1",1
"9420","Lockheed L-1011-385-1",28
"9421","LOCKHEED L-1011-385-1",1
"9422","Lockheed L-1011-385-1-1",1
"9423","Lockheed L-1011-385-1-14",6
"9424","Lockheed L-1011-385-1-15",6
"9425","Lockheed L-1011-385-1-3",2
"9426","Lockheed L-1011-385-1 (Basic",1
"9427","Lockheed L-1011-385-1 Series",1
"9428","Lockheed L-1011-385-14",1
"9429","Lockheed L-1011-385-15",1
"9430","Lockheed l-1011-385-3",1
"9431","Lockheed L-1011-385-3",7
"9432","Lockheed L-1011-385-3 Series",1
"9433","Lockheed L-1011-385 Series",1
"9434","Lockheed L-1011-500",2
"9435","Lockheed L-1011-Basic",1
"9436","Lockheed L-1011 (All Series",1
"9437","Lockheed L-1011 Basic",1
"9438","Lockheed L-1011 series",1
"9439","Lockheed L-1011 Series",1
"9440","Lockheed L-1011 with Weber Aircraft",1
"9441","Lockheed L-10ll (All Series",1
"9442","Lockheed L-14",2
"9443","Lockheed L-15",3
"9444","Lockheed L-188",1
"9445","Lockheed L-188A",2
"9446","Lockheed L-200",1
"9447","Lockheed L-3",6
"9448","LOCKHEED L-3.",1
"9449","Lockheed L-382",1
"9450","Lockheed L-385-1",1
"9451","Lockheed L-385-1-14",1
"9452","Lockheed L-385-1-15",1
"9453","Lockheed L-385-3",5
"9454","Lockheed L-500",1
"9455","Lockheed L100-382",1
"9456","Lockheed L1011-1-14",6
"9457","Lockheed L1011-1-15",6
"9458","Lockheed L1011-14",4
"9459","Lockheed L1011-15",5
"9460","Lockheed L1011-3",5
"9461","Lockheed L1011-385-1",16
"9462","Lockheed L1011-385-1-14",8
"9463","Lockheed L1011-385-1-15",7
"9464","Lockheed L1011-385-1 -14",1
"9465","Lockheed L1011-385-3",8
"9466","Lockheed L1011 (TC A23WE",1
"9467","Lockheed L1011 All models",1
"9468","Lockheed L1011 series",3
"9469","Lockheed L1011 Series",6
"9470","Lockheed L1011 Series (Sundstrand transmission model no. 90IDG01 P",1
"9471","Lockheed L1011(T.C.A23WE",1
"9472","Lockheed L101l-385-1",1
"9473","Lockheed L101l-385-14",1
"9474","Lockheed L101l-385-15",1
"9475","Lockheed Ll0ll-15",1
"9476","Lockheed Ll0ll-385-1 -14",1
"9477","Lockheed Lockheed Models  L1011-15",1
"9478","Lockheed Lockheed Models  L1011-385-1",1
"9479","Lockheed Martin Corp. L1011-385-1",1
"9480","Lockheed Martin Corp. L1011-385-1-14",1
"9481","Lockheed Martin Corp. L1011-385-1-15",1
"9482","Lockheed Martin Corp. L1011-385-3",1
"9483","Lockheed Martin Corporation ",1
"9484","Lockheed Martin Corporation L-1-14",1
"9485","Lockheed Martin Corporation L-1-15",1
"9486","Lockheed Martin Corporation L-1011-385-1",1
"9487","Lockheed Martin Corporation L-385-3",1
"9488","Lockheed Martin L-1011-385-1",1
"9489","Lockheed Martin L-1011-385-1-14",1
"9490","Lockheed Martin L-1011-385-1-15",1
"9491","Lockheed Martin L-1011-385-3",1
"9492","Lockheed Martin L1011-385-1",1
"9493","Lockheed Martin L1011-385-1-14",1
"9494","Lockheed Martin L1011-385-1-15",1
"9495","Lockheed Martin L1011-385-3",1
"9496","LOCKHEED MODEL L-1011 ALL SERIES",1
"9497","Lockheed N 707388C series",1
"9498","Lockheed S/N 5001 through 5200 Per TCDS 2A15",1
"9499","Luscombe ",1
"9500","Luscombe 8",4
"9501","Luscombe 8 series",1
"9502","Luscombe 8 Series (8",1
"9503","Luscombe 8A",5
"9504","Luscombe 8B",5
"9505","Luscombe 8C",5
"9506","Luscombe 8D",5
"9507","Luscombe 8E",5
"9508","Luscombe 8F",5
"9509","Luscombe T-8F",1
"9510","Luscombe T8F",2
"9511","Lycoming 14 Pinion Drives",1
"9512","Lycoming 360 Series Engines with 12",1
"9513","Lycoming A1G6D LO-360 Series Except A1G6D VO-435 Series TVO-435 Series VO-540 Series O-540 Series Except J1C5D",1
"9514","Lycoming A1H6",2
"9515","Lycoming A2A",1
"9516","Lycoming A4D",2
"9517","Lycoming A4G",2
"9518","Lycoming A4K",2
"9519","Lycoming Any type certificated engine with TCM D-2000",1
"9520","Lycoming Any type certificated engine with TCM S-1200 Series Magnetos Installed",1
"9521","Lycoming Any type certificated engine with TCM S-20",1
"9522","Lycoming B1A",1
"9523","Lycoming B1BD",1
"9524","Lycoming B4",1
"9525","Lycoming B4B",1
"9526","Lycoming B4C",1
"9527","Lycoming B4D",1
"9528","Lycoming B4E",1
"9529","Lycoming C1B",1
"9530","Lycoming C1C",1
"9531","Lycoming C1F",2
"9532","Lycoming C2A",1
"9533","Lycoming C2C",1
"9534","Lycoming D",1
"9535","Lycoming D-3000 Series Magnetos Installed",1
"9536","Lycoming D2",1
"9537","Lycoming D2B",1
"9538","Lycoming D2C",1
"9539","Lycoming DF1A6",1
"9540","Lycoming Division AVCO Corporation A2A",1
"9541","Lycoming Division AVCO Corporation B1A",1
"9542","Lycoming Division AVCO Corporation D",1
"9543","Lycoming Division AVCO Corporation O-290-A",1
"9544","Lycoming Division AVCO Corporation O-340-A1A",1
"9545","Lycoming Division AVCO Corporation O-AP",1
"9546","Lycoming Division AVCO Corporation O-B",1
"9547","Lycoming Division AVCO Corporation O-C",1
"9548","Lycoming Division AVCO Corporation O-CP",1
"9549","Lycoming Division AVCO Corporation O-D2",1
"9550","Lycoming Division AVCO Corporation O-D2A",1
"9551","Lycoming Division AVCO Corporation O-D2B",1
"9552","Lycoming Division AVCO Corporation O-D2C",1
"9553","Lycoming E1A6D",1
"9554","Lycoming E1A6D LO-360 Series Except A2D TO-360 Series LTO 360 Series O-540- J1C5D",1
"9555","Lycoming E2",1
"9556","Lycoming E3",1
"9557","Lycoming E3A",1
"9558","Lycoming E3B",1
"9559","Lycoming Engines An Operating Division of AVCO Corporation IO-390-A1A6",1
"9560","Lycoming Engines An Operating Division of AVCO Corporation IO-A3A6",1
"9561","Lycoming Engines IO-360-L2A",1
"9562","Lycoming Engines O-235-F2A",1
"9563","Lycoming Engines O-235-L2C",1
"9564","Lycoming Engines O-320-A2A",1
"9565","Lycoming Engines O-320-D2J",1
"9566","Lycoming Engines O-320-H2AD",1
"9567","Lycoming Engines O-360-A3A",1
"9568","Lycoming Engines O-360-A4M",1
"9569","Lycoming Engines O-A2B",1
"9570","Lycoming Engines O-A2C",1
"9571","Lycoming Engines O-A2D",1
"9572","Lycoming Engines O-A3AD",1
"9573","Lycoming Engines O-A4A AEIO-360-B2F",1
"9574","Lycoming Engines O-B2A",1
"9575","Lycoming Engines O-B2B",1
"9576","Lycoming Engines O-B2C",1
"9577","Lycoming Engines O-B4A",1
"9578","Lycoming Engines O-B4A IO-360-B2F",1
"9579","Lycoming Engines O-D2A",1
"9580","Lycoming Engines O-D2B",1
"9581","Lycoming Engines O-D2C",1
"9582","Lycoming Engines O-D3G",1
"9583","Lycoming Engines O-E2A",1
"9584","Lycoming Engines O-E2B",2
"9585","Lycoming Engines O-E2B IO-320-E2A",1
"9586","Lycoming Engines O-E2C",1
"9587","Lycoming Engines O-E3D",1
"9588","Lycoming Engines O-E3H AEIO-320-E2A",1
"9589","Lycoming Engines O-F2B",1
"9590","Lycoming Engines O-J2A",1
"9591","Lycoming Engines O-K2A",1
"9592","Lycoming Engines O-K2B",1
"9593","Lycoming Engines O-K2C",1
"9594","Lycoming Engines O-L2A",1
"9595","Lycoming Engines O-L2C",1
"9596","Lycoming Engines O-M1",1
"9597","Lycoming Engines O-N2A",1
"9598","Lycoming Engines O-N2C",1
"9599","Lycoming Engines O-P2A",1
"9600","Lycoming F2BD",2
"9601","Lycoming G1A6",2
"9602","Lycoming G1D5",1
"9603","Lycoming GO-435-C2A2",1
"9604","Lycoming GO-C2B2",1
"9605","Lycoming GO-C2B2-6",1
"9606","Lycoming H2C",1
"9607","Lycoming HIO-360 Series",1
"9608","Lycoming IGSO-480-A1A6",1
"9609","Lycoming IO-360-C1E6",1
"9610","Lycoming IO-390-A1A6",1
"9611","Lycoming IO-540-K1A5",1
"9612","Lycoming IO-540 S1A5",1
"9613","Lycoming IO-720-B1B",1
"9614","Lycoming IO-A3A6",1
"9615","Lycoming J2BD",2
"9616","Lycoming J3C5D",2
"9617","Lycoming K1A5D",1
"9618","Lycoming K1B5",1
"9619","Lycoming K1D5",1
"9620","Lycoming K1E5",1
"9621","Lycoming K1F5",1
"9622","Lycoming K1F5D",1
"9623","Lycoming K1G5D",1
"9624","Lycoming K1J5",1
"9625","Lycoming K1J5D",1
"9626","Lycoming L3C5D",1
"9627","Lycoming LC35D",1
"9628","Lycoming LIO-360-C1E6",1
"9629","Lycoming LTIO-540-J2B",1
"9630","Lycoming N2BD",2
"9631","Lycoming O-235",1
"9632","Lycoming O-235-C1",2
"9633","Lycoming O-235 Series O-320 Series Except D1D",2
"9634","Lycoming O-290-A",1
"9635","Lycoming O-290-D",1
"9636","Lycoming O-320 D1D O-360 A1G6",1
"9637","Lycoming O-320 D1D O-360 Series LO-360 Series VO-435 Series TVO-435 Series VO-540 Series O-540 Series",1
"9638","Lycoming O-320 Series Except D1D",1
"9639","Lycoming O-340-A1A",1
"9640","Lycoming O-360 Series Except F1A6",1
"9641","Lycoming O-360 Series LO-360 Series VO-435 Series TVO-435 Series VO-540 Series O-540 Series",1
"9642","Lycoming O-540-D1A5",1
"9643","Lycoming O-540-G1A5",1
"9644","Lycoming O-A",1
"9645","Lycoming O-A1",1
"9646","Lycoming O-AP",2
"9647","Lycoming O-B",2
"9648","Lycoming O-BP",1
"9649","Lycoming O-C",2
"9650","Lycoming O-C1",1
"9651","Lycoming O-C1A",2
"9652","Lycoming O-C1B",2
"9653","Lycoming O-C1C",2
"9654","Lycoming O-C2A",2
"9655","Lycoming O-C2B",2
"9656","Lycoming O-C2C",2
"9657","Lycoming O-CP",1
"9658","Lycoming O-D2",1
"9659","Lycoming O-D2A",1
"9660","Lycoming O-D2B",1
"9661","Lycoming O-D2C",1
"9662","Lycoming O-E1",2
"9663","Lycoming O-E1B",2
"9664","Lycoming O-E2A",2
"9665","Lycoming O-E2B",2
"9666","Lycoming O-F1",2
"9667","Lycoming O-F1B",2
"9668","Lycoming O-F2A",2
"9669","Lycoming O-F2B",2
"9670","Lycoming O-G1",2
"9671","Lycoming O-G1B",2
"9672","Lycoming O-G2A",2
"9673","Lycoming O-G2B",2
"9674","Lycoming O-H2C",2
"9675","Lycoming O-J2A",2
"9676","Lycoming O-J2B",2
"9677","Lycoming O-K2A",2
"9678","Lycoming O-K2B",2
"9679","Lycoming O-K2C",2
"9680","Lycoming O-L2A",2
"9681","Lycoming O-L2C",2
"9682","Lycoming O-M1",2
"9683","Lycoming O-M2C",2
"9684","Lycoming O-M3C",2
"9685","Lycoming O-N2A",2
"9686","Lycoming O-N2C",2
"9687","Lycoming O-P1",2
"9688","Lycoming O-P2A",2
"9689","Lycoming O-P2C",2
"9690","Lycoming O-P3C",2
"9691","Lycoming R-680- E1",1
"9692","Lycoming S-200 Series Magnetos Installed",1
"9693","Lycoming S1A5",1
"9694","Lycoming Same as AEL74230",1
"9695","Lycoming TIGO-541-E1A",1
"9696","Lycoming TIO-540-C1A",1
"9697","Lycoming TIO-540-J2B",1
"9698","Lycoming TIO-541-A1A",1
"9699","Lycoming TIO-E1A4",1
"9700","Lycoming TIO-E1B4",1
"9701","Lycoming TIO-E1C4",1
"9702","Lycoming TIO-E1D4",1
"9703","Lycoming VO-435-B1A TVO-435-F1A",1
"9704","M337B USAF O2A",1
"9705","M7 Aerospace LLC Fairchild",1
"9706","M7 Aerospace LLC Swearingen",1
"9707","M7 Aerospace LP SA226-AT",1
"9708","M7 Aerospace LP SA226-T",2
"9709","M7 Aerospace LP SA227-AT",1
"9710","M7 Aerospace LP SA227-TT",1
"9711","M7 Aerospace LP SA26-AT",1
"9712","M7 Aerospace LP SA26-T",2
"9713","magneto of same base number",4
"9714","magneto systems of same base number",3
"9715","Maryland Air Industries, Inc. [Fairchild] F-27",1
"9716","Maryland Air Industries, Inc. [Fairchild] FH-227 Per TCDS 7A1",1
"9717","Maule Bee Dee M-4",1
"9718","MAULE INC.",1
"9719","Maule M-4",2
"9720","Maule M-4-210",1
"9721","Maule M-4-210C",1
"9722","Maule M-4-210S",1
"9723","Maule M-4-210T",1
"9724","Maule M-4-220",1
"9725","Maule M-4-220-T",1
"9726","Maule M-4-220C",1
"9727","Maule M-4-220S",1
"9728","Maule M-4C",1
"9729","Maule M-4S",1
"9730","Maule M-4T",1
"9731","Maule M-5-210C",1
"9732","Maule M-5-210TC",1
"9733","Maule M-5-220C",1
"9734","Maule M-5-235C",1
"9735","Maule M-5 Series",1
"9736","Maule M-6-235",1
"9737","Maule M-7-235",1
"9738","MAULE MAULE AEROSPACE TECHNOLOGY",1
"9739","Maule MX-7-235",1
"9740","MBB A3",1
"9741","MBB A4",1
"9742","MBB Models BK117 A1",1
"9743","Mc Donnell-Douglas 83",1
"9744","Mc Donnell-Douglas MD-9-82",1
"9745","Mc Donnell Douglas 717-200",1
"9746","Mc Donnell Douglas DC-10-10",1
"9747","Mc Donnell Douglas DC-10-10F",1
"9748","Mc Donnell Douglas DC-10-15",1
"9749","Mc Donnell Douglas DC-10-30",1
"9750","Mc Donnell Douglas DC-10-30F",1
"9751","Mc Donnell Douglas DC-10-40",1
"9752","Mc Donnell Douglas DC-10-40F",1
"9753","Mc Donnell Douglas MD-10-10F",1
"9754","Mc Donnell Douglas MD-10-30F",1
"9755","Mc Donnell Douglas MD-11",1
"9756","Mc Donnell Douglas MD-11F",1
"9757","Mc Donnell Douglas MD-90-30",1
"9758","McCauley 21",1
"9759","McCauley 3FF32C501",1
"9760","McCauley 88",1
"9761","McCauley 90UMB",1
"9762","McCauley C20373-X",1
"9763","McCauley D20309-X",1
"9764","McCauley D20672-X",1
"9765","McCauley D20676-X",1
"9766","McCauley D20741-X",1
"9767","McCauley D20777-X",1
"9768","McCauley D20893-X",1
"9769","McCauley D20911-X",1
"9770","McCauley D20960-X",1
"9771","McCauley See Rapco Report RA 21286 Rev. None dtd 7",1
"9772","McClish B",1
"9773","McClish B75L",1
"9774","McClish B85C",1
"9775","McDONNEL DOUGLAS DC-8 DC-9 MD-80",1
"9776","McDONNEL DOUGLAS DC-9 MD-80",1
"9777","McDonnel1 Douglas MD-90-30",1
"9778","McDonnell Douglas ",10
"9779","McDonnell Douglas –63F",1
"9780","McDonnell Douglas  Airbus A300",1
"9781","McDonnell Douglas  Airbus A310",1
"9782","McDonnell Douglas (KC - 10A",1
"9783","McDonnell Douglas (MD-80",1
"9784","McDonnell Douglas (MD-81",2
"9785","McDonnell Douglas (MD-82",1
"9786","McDonnell Douglas [ AIM Aviation ] DC - 14",1
"9787","McDonnell Douglas [ AIM Aviation ] DC - 15",1
"9788","McDonnell Douglas [ AIM Aviation ] DC - 31",1
"9789","McDonnell Douglas [ AIM Aviation ] DC - 32",1
"9790","McDonnell Douglas [ AIM Aviation ] DC - 41",1
"9791","McDonnell Douglas [ AIM Aviation ] DC - 51",1
"9792","McDonnell Douglas [ AIM Aviation ] DC - 9 - 11",1
"9793","McDonnell Douglas [Boeing] MD-11",1
"9794","McDonnell Douglas [Boeing] MD-11F",1
